iter	Passed	Remaining
371	653	1103
372	655	1101
373	656	1099
374	657	1096
375	659	1095
376	661	1093
377	662	1090
378	664	1088
379	665	1085
380	667	1084
381	669	1083
382	671	1081
383	672	1079
384	675	1078
385	676	1076
386	678	1074
387	680	1072
388	682	1071
389	683	1069
390	684	1066
391	685	1063
392	687	1061
393	689	1060
394	692	1061
395	694	1059
396	696	1058
397	698	1056
398	699	1053
399	700	1050
400	701	1048
401	704	1047
402	706	1046
403	708	1044
404	709	1042
405	711	1040
406	712	1037
407	713	1034
408	714	1032
409	715	1029
410	717	1028
411	719	1027
412	721	1025
413	723	1023
414	724	1021
415	726	1019
416	727	1016
417	728	1014
418	730	1012
419	731	1009
420	732	1007
421	734	1006
422	736	1004
423	737	1002
424	739	1000
425	740	998
426	741	995
427	743	993
428	744	990
429	745	987
430	746	985
431	747	983
432	749	981
433	751	980
434	753	978
435	754	976
436	755	973
437	757	971
438	758	969
439	759	966
440	761	965
441	765	966
442	768	965
443	769	963
444	771	962
445	772	959
446	773	957
447	774	954
448	776	952
449	778	951
450	780	949
451	781	947
452	783	945
453	785	944
454	786	941
455	787	939
456	788	936
457	789	934
458	791	932
459	793	930
